tree,MPD,n_leaves
FAM031806.nw,0.5241718248,5
FAM004152.nw,0.2266098914666667,10
FAM019556.nw,1.7469501498000004,5
FAM016103.nw,0.0044348454,5
FAM017104.nw,0.10598498003692308,26
FAM011866.nw,0.28543475357777776,10
FAM017023.nw,0.25664438879487184,13
FAM012181.nw,0.3680779933214286,8
FAM020795.nw,0.10273211199999999,6
FAM022386.nw,0.48580387199999997,7
FAM022388.nw,0.8556600398666666,10
FAM019766.nw,0.2938749478,5
FAM000599.nw,0.1799933830357143,8
FAM026186.nw,0.20312522140000003,5
FAM021716.nw,0.0560643346,5
FAM019975.nw,1.0617861721904762,7
FAM012772.nw,0.5922269824729344,27
FAM029163.nw,0.127734024,5
FAM003123.nw,0.02710112077470355,23
FAM021267.nw,0.31390936195604396,14
FAM010348.nw,0.4245708482365592,31
FAM022477.nw,0.6044722929333335,6
FAM005535.nw,0.8336290254444445,9
FAM004749.nw,0.36598156480000005,5
FAM016697.nw,0.24256386479999997,5
FAM016483.nw,0.34674592886956523,23
FAM018025.nw,0.37303911276190477,7
FAM000739.nw,0.1323225952,6
FAM022384.nw,0.9859436728461537,13
FAM022092.nw,1.3992946121999998,5
FAM016335.nw,0.9618036344,5
FAM016627.nw,0.09456088092857141,8
FAM019129.nw,0.4322548088666667,6
FAM021196.nw,0.8384099158,5
FAM014605.nw,0.3972233160530303,33
FAM021423.nw,0.9171021860666667,6
FAM016838.nw,0.05366630161742424,33
FAM021310.nw,1.4471228332666664,6
FAM006993.nw,0.22213040891463415,41
FAM012420.nw,0.019214006476190475,7
FAM018604.nw,0.117609567,5
FAM013918.nw,0.041982705599999996,5
FAM018345.nw,0.5501589868888889,10
FAM000507.nw,0.2601356000758621,30
FAM016030.nw,0.45002578080000005,5
FAM022181.nw,0.28937656520000005,5
FAM015067.nw,1.3260590575151516,12
FAM016463.nw,0.8335409184,6
FAM019327.nw,0.035965568999999996,5
FAM017250.nw,0.1045626918,5
FAM013139.nw,0.4609684327333333,6
FAM020997.nw,0.009978853636363638,11
FAM009040.nw,0.2576540614,5
FAM001650.nw,0.09320230949885057,30
FAM022401.nw,0.5868267943555554,10
FAM021382.nw,1.2077851556818182,12
FAM014548.nw,0.49096493541818187,11
FAM010174.nw,0.637345447954023,30
FAM018254.nw,0.19051768378571432,8
FAM023153.nw,0.28653980213333335,6
FAM004188.nw,0.7128433108634424,38
FAM016556.nw,0.7099343772222223,9
FAM008308.nw,0.0907918423394958,35
FAM016425.nw,0.4127696052666667,10
FAM011749.nw,0.2610853418789916,35
FAM019925.nw,0.039404563866666666,6
FAM019175.nw,0.1741041686,5
FAM020744.nw,0.230021481,5
FAM015572.nw,0.29842228215686273,34
FAM021256.nw,0.19755786185714283,8
FAM007013.nw,0.2758136147555556,10
FAM023930.nw,0.05705993306666667,6
FAM016124.nw,0.04728096276666667,16
FAM020382.nw,0.5040180673999999,5
FAM012150.nw,0.27723472794871795,13
FAM020452.nw,0.2037967488,6
FAM017825.nw,0.0727515096,5
FAM019864.nw,0.0834826658,5
FAM022267.nw,0.03242654353333333,6
FAM012143.nw,0.29477045379999994,5
FAM022763.nw,0.7536884766666667,7
FAM022319.nw,0.874596823,6
