2025-11-05 11:04:56   --- Hyperparameters ---
2025-11-05 11:04:56   model = AAConvNet(
2025-11-05 11:04:56     (conv_layer): Sequential(
2025-11-05 11:04:56       (0): Conv1d(22, 64, kernel_size=(1,), stride=(1,))
2025-11-05 11:04:56       (1): ReLU()
2025-11-05 11:04:56       (2): AdaptiveAvgPool1d(output_size=1)
2025-11-05 11:04:56       (3): Dropout(p=0.2, inplace=False)
2025-11-05 11:04:56     )
2025-11-05 11:04:56     (dense_layer): Linear(in_features=64, out_features=1, bias=True)
2025-11-05 11:04:56   )
2025-11-05 11:04:56   split_proportion = 0.9
2025-11-05 11:04:56   batch_pad_sequences = False
2025-11-05 11:04:56   learning_rate = 0.01
2025-11-05 11:04:56   batch_size = 64
2025-11-05 11:04:56   max_epochs = 500
2025-11-05 11:04:56   early_stopping_patience = 20
2025-11-05 11:04:56   kernel_size = 1
2025-11-05 11:04:56   --- Creating loaders ---
2025-11-05 11:04:56   --- Training start ---
2025-11-05 11:04:56   Start training using cpu device.
2025-11-05 11:04:56   Number of model parameters: 1537.
2025-11-05 11:04:56   Epoch   Train loss   Valid loss   Valid acc    F1-score        Lr   Best
2025-11-05 11:04:56   ------------------------------------------------------------------------
2025-11-05 11:06:23     144        0.000        0.000       1.000       1.000   0.00247      *
2025-11-05 11:06:23     145        0.000        0.000       1.000       1.000   0.00245      *
2025-11-05 11:06:24     146        0.000        0.000       1.000       1.000   0.00242      *
2025-11-05 11:06:25     147        0.000        0.000       1.000       1.000   0.00240      *
2025-11-05 11:06:25     148        0.000        0.000       1.000       1.000   0.00238      *
2025-11-05 11:06:26     149        0.000        0.000       1.000       1.000   0.00235      *
2025-11-05 11:06:26     150        0.000        0.000       1.000       1.000   0.00233      *
2025-11-05 11:06:27     151        0.000        0.000       1.000       1.000   0.00231      *
2025-11-05 11:06:28     152        0.000        0.000       1.000       1.000   0.00228      *
2025-11-05 11:06:28     153        0.000        0.000       1.000       1.000   0.00226      *
2025-11-05 11:06:29     154        0.000        0.000       1.000       1.000   0.00224      *
2025-11-05 11:06:29     155        0.000        0.000       1.000       1.000   0.00221      *
2025-11-05 11:06:30     156        0.000        0.000       1.000       1.000   0.00219      *
2025-11-05 11:06:31     157        0.000        0.000       1.000       1.000   0.00217      *
2025-11-05 11:06:31     158        0.000        0.000       1.000       1.000   0.00215      *
2025-11-05 11:06:32     159        0.000        0.000       1.000       1.000   0.00213      *
2025-11-05 11:06:32     160        0.000        0.000       1.000       1.000   0.00211      *
2025-11-05 11:06:33     161        0.000        0.000       1.000       1.000   0.00208      *
2025-11-05 11:06:34     162        0.000        0.000       1.000       1.000   0.00206      *
2025-11-05 11:06:34     163        0.000        0.000       1.000       1.000   0.00204      *
2025-11-05 11:06:35     164        0.000        0.000       1.000       1.000   0.00202      *
2025-11-05 11:06:35     165        0.000        0.000       1.000       1.000   0.00200      *
2025-11-05 11:06:36     166        0.000        0.000       1.000       1.000   0.00198      *
2025-11-05 11:06:37     167        0.000        0.000       1.000       1.000   0.00196      *
2025-11-05 11:06:37     168        0.000        0.000       1.000       1.000   0.00194      *
2025-11-05 11:06:38     169        0.000        0.000       1.000       1.000   0.00192      *
2025-11-05 11:06:38     170        0.000        0.000       1.000       1.000   0.00190      *
2025-11-05 11:06:39     171        0.000        0.000       1.000       1.000   0.00189      *
2025-11-05 11:06:40     172        0.000        0.000       1.000       1.000   0.00187      *
2025-11-05 11:06:40     173        0.000        0.000       1.000       1.000   0.00185      *
2025-11-05 11:06:41     174        0.000        0.000       1.000       1.000   0.00183      *
2025-11-05 11:06:41     175        0.000        0.000       1.000       1.000   0.00181      *
2025-11-05 11:06:42     176        0.000        0.000       1.000       1.000   0.00179      *
2025-11-05 11:06:43     177        0.000        0.000       1.000       1.000   0.00178      *
2025-11-05 11:06:43     178        0.000        0.000       1.000       1.000   0.00176      *
2025-11-05 11:06:44     179        0.000        0.000       1.000       1.000   0.00174      *
2025-11-05 11:06:44     180        0.000        0.000       1.000       1.000   0.00172      *
2025-11-05 11:06:45     181        0.000        0.000       1.000       1.000   0.00171      *
2025-11-05 11:06:46     182        0.000        0.000       1.000       1.000   0.00169      *
2025-11-05 11:06:46     183        0.000        0.000       1.000       1.000   0.00167      *
2025-11-05 11:06:47     184        0.000        0.000       1.000       1.000   0.00165      *
2025-11-05 11:06:48     185        0.000        0.000       1.000       1.000   0.00164      *
2025-11-05 11:06:48     186        0.000        0.000       1.000       1.000   0.00162      *
2025-11-05 11:06:49     187        0.000        0.000       1.000       1.000   0.00161      *
2025-11-05 11:06:49     188        0.000        0.000       1.000       1.000   0.00159      *
2025-11-05 11:06:50     189        0.000        0.000       1.000       1.000   0.00157      *
2025-11-05 11:06:51     190        0.000        0.000       1.000       1.000   0.00156      *
2025-11-05 11:06:51     191        0.000        0.000       1.000       1.000   0.00154      *
2025-11-05 11:06:52     192        0.000        0.000       1.000       1.000   0.00153      *
2025-11-05 11:06:52     193        0.000        0.000       1.000       1.000   0.00151      *
2025-11-05 11:06:53     194        0.000        0.000       1.000       1.000   0.00150      *
2025-11-05 11:06:54     195        0.000        0.000       1.000       1.000   0.00148      *
2025-11-05 11:06:54     196        0.000        0.000       1.000       1.000   0.00147      *
2025-11-05 11:06:55     197        0.000        0.000       1.000       1.000   0.00145      *
2025-11-05 11:06:55     198        0.000        0.000       1.000       1.000   0.00144      *
2025-11-05 11:06:56     199        0.000        0.000       1.000       1.000   0.00142      *
2025-11-05 11:06:57     200        0.000        0.000       1.000       1.000   0.00141      *
2025-11-05 11:06:57     201        0.000        0.000       1.000       1.000   0.00139      *
2025-11-05 11:06:58     202        0.000        0.000       1.000       1.000   0.00138      *
2025-11-05 11:06:58     203        0.000        0.000       1.000       1.000   0.00137      *
2025-11-05 11:06:59     204        0.000        0.000       1.000       1.000   0.00135      *
2025-11-05 11:07:00     205        0.000        0.000       1.000       1.000   0.00134      *
2025-11-05 11:07:00     206        0.000        0.000       1.000       1.000   0.00133      *
2025-11-05 11:07:01     207        0.000        0.000       1.000       1.000   0.00131      *
2025-11-05 11:07:01     208        0.000        0.000       1.000       1.000   0.00130      *
2025-11-05 11:07:02     209        0.000        0.000       1.000       1.000   0.00129      *
2025-11-05 11:07:03     210        0.000        0.000       1.000       1.000   0.00127      *
2025-11-05 11:07:03     211        0.000        0.000       1.000       1.000   0.00126      *
2025-11-05 11:07:04     212        0.000        0.000       1.000       1.000   0.00125      *
2025-11-05 11:07:04     213        0.000        0.000       1.000       1.000   0.00124      *
2025-11-05 11:07:05     214        0.000        0.000       1.000       1.000   0.00122      *
2025-11-05 11:07:06     215        0.000        0.000       1.000       1.000   0.00121      *
2025-11-05 11:07:06     216        0.000        0.000       1.000       1.000   0.00120      *
2025-11-05 11:07:07     217        0.000        0.000       1.000       1.000   0.00119      *
2025-11-05 11:07:07     218        0.000        0.000       1.000       1.000   0.00118      *
2025-11-05 11:07:08     219        0.000        0.000       1.000       1.000   0.00116      *
2025-11-05 11:07:09     220        0.000        0.000       1.000       1.000   0.00115      *
2025-11-05 11:07:09     221        0.000        0.000       1.000       1.000   0.00114      *
2025-11-05 11:07:10     222        0.000        0.000       1.000       1.000   0.00113      *
2025-11-05 11:07:10     223        0.000        0.000       1.000       1.000   0.00112      *
2025-11-05 11:07:11     224        0.000        0.000       1.000       1.000   0.00111      *
2025-11-05 11:07:12     225        0.000        0.000       1.000       1.000   0.00110      *
2025-11-05 11:07:12     226        0.000        0.000       1.000       1.000   0.00108      *
2025-11-05 11:07:13     227        0.000        0.000       1.000       1.000   0.00107      *
2025-11-05 11:07:13     228        0.000        0.000       1.000       1.000   0.00106      *
2025-11-05 11:07:14     229        0.000        0.000       1.000       1.000   0.00105      *
2025-11-05 11:07:15     230        0.000        0.000       1.000       1.000   0.00104      *
2025-11-05 11:07:15     231        0.000        0.000       1.000       1.000   0.00103      *
2025-11-05 11:07:16     232        0.000        0.000       1.000       1.000   0.00102      *
2025-11-05 11:07:16     233        0.000        0.000       1.000       1.000   0.00101      *
2025-11-05 11:07:17     234        0.000        0.000       1.000       1.000   0.00100      *
2025-11-05 11:07:18     235        0.000        0.000       1.000       1.000   0.00099      *
2025-11-05 11:07:18     236        0.000        0.000       1.000       1.000   0.00098      *
2025-11-05 11:07:19     237        0.000        0.000       1.000       1.000   0.00097      *
2025-11-05 11:07:19     238        0.000        0.000       1.000       1.000   0.00096      *
2025-11-05 11:07:20     239        0.000        0.000       1.000       1.000   0.00095      *
2025-11-05 11:07:21     240        0.000        0.000       1.000       1.000   0.00094      *
2025-11-05 11:07:21     241        0.000        0.000       1.000       1.000   0.00093      *
2025-11-05 11:07:22     242        0.000        0.000       1.000       1.000   0.00092      *
2025-11-05 11:07:22     243        0.000        0.000       1.000       1.000   0.00091      *
2025-11-05 11:07:23     244        0.000        0.000       1.000       1.000   0.00091      *
2025-11-05 11:07:24     245        0.000        0.000       1.000       1.000   0.00090      *
2025-11-05 11:07:24     246        0.000        0.000       1.000       1.000   0.00089      *
2025-11-05 11:07:25     247        0.000        0.000       1.000       1.000   0.00088      *
2025-11-05 11:07:25     248        0.000        0.000       1.000       1.000   0.00087      *
2025-11-05 11:07:26     249        0.000        0.000       1.000       1.000   0.00086      *
2025-11-05 11:07:27     250        0.000        0.000       1.000       1.000   0.00085      *
2025-11-05 11:07:27     251        0.000        0.000       1.000       1.000   0.00084      *
2025-11-05 11:07:28     252        0.000        0.000       1.000       1.000   0.00084      *
2025-11-05 11:07:28     253        0.000        0.000       1.000       1.000   0.00083      *
2025-11-05 11:07:29     254        0.000        0.000       1.000       1.000   0.00082      *
2025-11-05 11:07:30     255        0.000        0.000       1.000       1.000   0.00081      *
2025-11-05 11:07:30     256        0.000        0.000       1.000       1.000   0.00080      *
2025-11-05 11:07:31     257        0.000        0.000       1.000       1.000   0.00079      *
2025-11-05 11:07:32     258        0.000        0.000       1.000       1.000   0.00079      *
2025-11-05 11:07:32     259        0.000        0.000       1.000       1.000   0.00078      *
2025-11-05 11:07:33     260        0.000        0.000       1.000       1.000   0.00077      *
2025-11-05 11:07:33     261        0.000        0.000       1.000       1.000   0.00076      *
2025-11-05 11:07:34     262        0.000        0.000       1.000       1.000   0.00076      *
2025-11-05 11:07:35     263        0.000        0.000       1.000       1.000   0.00075      *
2025-11-05 11:07:35     264        0.000        0.000       1.000       1.000   0.00074      *
2025-11-05 11:07:36     265        0.000        0.000       1.000       1.000   0.00073      *
2025-11-05 11:07:36     266        0.000        0.000       1.000       1.000   0.00073      *
2025-11-05 11:07:37     267        0.000        0.000       1.000       1.000   0.00072      *
2025-11-05 11:07:38     268        0.000        0.000       1.000       1.000   0.00071      *
2025-11-05 11:07:38     269        0.000        0.000       1.000       1.000   0.00070      *
2025-11-05 11:07:39     270        0.000        0.000       1.000       1.000   0.00070      *
2025-11-05 11:07:39     271        0.000        0.000       1.000       1.000   0.00069      *
2025-11-05 11:07:40     272        0.000        0.000       1.000       1.000   0.00068      *
2025-11-05 11:07:41     273        0.000        0.000       1.000       1.000   0.00068      *
2025-11-05 11:07:41     274        0.000        0.000       1.000       1.000   0.00067      *
2025-11-05 11:07:42     275        0.000        0.000       1.000       1.000   0.00066      *
2025-11-05 11:07:42     276        0.000        0.000       1.000       1.000   0.00066      *
2025-11-05 11:07:43     277        0.000        0.000       1.000       1.000   0.00065      *
2025-11-05 11:07:44     278        0.000        0.000       1.000       1.000   0.00064      *
2025-11-05 11:07:44     279        0.000        0.000       1.000       1.000   0.00064      *
2025-11-05 11:07:45     280        0.000        0.000       1.000       1.000   0.00063      *
2025-11-05 11:07:45     281        0.000        0.000       1.000       1.000   0.00062      *
2025-11-05 11:07:46     282        0.000        0.000       1.000       1.000   0.00062      *
2025-11-05 11:07:47     283        0.000        0.000       1.000       1.000   0.00061      *
2025-11-05 11:07:47     284        0.000        0.000       1.000       1.000   0.00061      *
2025-11-05 11:07:48     285        0.000        0.000       1.000       1.000   0.00060      *
2025-11-05 11:07:48     286        0.000        0.000       1.000       1.000   0.00059      *
2025-11-05 11:07:49     287        0.000        0.000       1.000       1.000   0.00059      *
2025-11-05 11:07:50     288        0.000        0.000       1.000       1.000   0.00058      *
2025-11-05 11:07:50     289        0.000        0.000       1.000       1.000   0.00058      *
2025-11-05 11:07:51     290        0.000        0.000       1.000       1.000   0.00057      *
2025-11-05 11:07:52     291        0.000        0.000       1.000       1.000   0.00056      *
2025-11-05 11:07:52     292        0.000        0.000       1.000       1.000   0.00056      *
2025-11-05 11:07:53     293        0.000        0.000       1.000       1.000   0.00055      *
2025-11-05 11:07:53     294        0.000        0.000       1.000       1.000   0.00055      *
2025-11-05 11:07:54     295        0.000        0.000       1.000       1.000   0.00054      *
2025-11-05 11:07:55     296        0.000        0.000       1.000       1.000   0.00054      *
2025-11-05 11:07:55     297        0.000        0.000       1.000       1.000   0.00053      *
2025-11-05 11:07:56     298        0.000        0.000       1.000       1.000   0.00053      *
2025-11-05 11:07:56     299        0.000        0.000       1.000       1.000   0.00052      *
2025-11-05 11:07:57     300        0.000        0.000       1.000       1.000   0.00052      *
2025-11-05 11:07:58     301        0.000        0.000       1.000       1.000   0.00051      *
2025-11-05 11:07:58     302        0.000        0.000       1.000       1.000   0.00051      *
2025-11-05 11:07:59     303        0.000        0.000       1.000       1.000   0.00050      *
